"sub" "mem" "beta_a" "Tp" "Ta" "mup" "mua" "ll"
"1" "aleg" 0.596690905509258 3.28033003043599 2.80323468224584 2.57335811118857 6.02908075612203 5.64162016767361 -519.475600593626
"2" "alis" 0.771099943073642 11.3378308338737 2.27862026316103 2.02067787196693 4.21588701758303 3.91341844653822 -762.878980658532
"3" "elis" 0.453520038763394 2.04101020036606 2.44504391371266 1.85500705117806 5.27705760615976 4.04623561455143 -789.006813784394
"4" "jarw" 0.690924580539994 5.91492547985859 2.49458759271861 1.97855044456069 4.73434627618292 2.89353979069134 -747.886162699995
"5" "julm" 0.690247527795759 6.30487486242882 3.14752418142433 2.76376000241033 5.98216824314973 5.30981232541272 -408.299207092175
"6" "katm" 0.390547060280341 6.59886175833175 2.77419832311305 1.75163117310964 6.6998770323465 4.0153958366145 -734.197606646996
"7" "lens" 0.0784508581045026 4.26485788758759 2.65471301311096 2.28112497058851 6.7827699595879 5.66047691251315 -595.776572763826
"8" "marb" 0.690993037089488 5.14327866442142 2.49991953292737 2.02780685151537 4.90077709232506 3.84895695226859 -749.46954058827
"9" "nadf" 0.543494156926883 5.46099780893816 2.29663860203451 1.73269463255375 5.13001883977281 3.71736029242085 -848.245378316782
"10" "olir" 0.623778762346277 4.43909327470534 2.69310336411894 2.98342805798649 6.59580349131151 7.10785887406501 -416.223211277682
"11" "ricg" 0.370158147604343 1.2086750434097 2.37011914560452 2.57312141814199 5.45312081405984 5.16353037496704 -617.908383275168
"12" "thep" 0.865281916455821 7.38289356710391 2.91397832809191 2.39142530053675 5.32194676784485 3.67721353769266 -610.658401169808
