"sub" "mem" "beta_a" "Tp" "Ta" "mup" "mua" "ll"
"1" "adrl" 0.815888715911831 6.75189731889136 2.5367611904113 2.36333375050004 4.80690410775572 4.34066233495629 -660.43342379563
"2" "aleg" 0.697487737407904 5.35145840712868 2.44145118172066 2.15314824392989 5.05926489411569 4.63303094771053 -634.091202563114
"3" "anas" 0.608242777995966 2.86303298504833 2.85219460066569 2.0969495043221 5.93612667553381 4.48142849290634 -645.598679961873
"4" "elis" 0.768207107231217 4.54908578344239 2.36913104592268 2.02311100438093 4.66478187144297 4.33966665364656 -756.667582095745
"5" "fran" 0.502969146373989 4.46669029562271 2.50737069856445 2.32504475808177 4.55235728729011 4.27063257607044 -636.006698625271
"6" "jons" 0.355450506223203 3.21713416972281 2.4359192764656 2.49577561299654 5.33507001693118 5.46643980408342 -595.197890492064
"7" "julk" 0.563158770256966 2.48868655613276 2.89389404053681 2.45295507729619 5.33785429440812 4.68904928511892 -518.839233756106
"8" "julm" 0.569640798578212 3.88315583393529 2.56261546665897 2.6819671423914 4.55864838999077 4.82603411474387 -546.487846688254
"9" "lens" 0.659319653429561 7.29640027442617 2.95240996106481 2.94120542131467 7.2902739277792 7.2888183381477 -416.841506231338
"10" "marm" 0.456071458040969 1.57020775997277 2.90487929149851 2.80800316292417 5.5102668103878 5.65527477228677 -427.573188541626
"11" "olir" 0.78155696108109 5.80201781357897 3.22012346639659 2.55652236857664 7.56793986712607 6.12574022420177 -440.598476592275
"12" "ricg" 0.290409906611392 1.00184291081296 2.3946034853576 2.28946766964711 4.82236690130052 4.48543916759206 -645.955120663037
